name,slug
America MG,america-mg
América Mineiro,america-mg
Atletico-MG,atletico-mg
Atletico Mineiro,atletico-mg
Athletico-PR,athletico-pr
Atletico-PR,athletico-pr
Atletico Paranaense,athletico-pr
Atlético Paranaense,athletico-pr
Atletico GO,atletico-go
Atletico Goianiense,atletico-go
Atlético Goianiense,atletico-go
Avai,avai
Avaí,avai
Bahia,bahia
Bahía,bahia
Botafogo,botafogo
Botafogo RJ,botafogo
Bragantino,bragantino
Bragantino-SP,bragantino
Ceara,ceara
Ceará,ceara
Chapecoense-SC,chapecoense
Chapecoense AF,chapecoense
Corinthians,corinthians
Coritiba,coritiba
Criciuma,criciuma
Cruzeiro,cruzeiro
CSA,csa
Cuiaba,cuiaba
Cuiabá,cuiaba
Figueirense,figueirense
Flamengo,flamengo
Flamengo RJ,flamengo
Fluminense,fluminense
Fortaleza,fortaleza
Goias,goias
Goiás,goias
Gremio,gremio
Grêmio,gremio
Internacional,internacional
Joinville,joinville
Juventude,juventude
Nautico,nautico
Palmeiras,palmeiras
Parana,parana
Paraná,parana
Ponte Preta,ponte-preta
Portuguesa,portuguesa
Santa Cruz,santa cruz
Santos,santos
Sao Paulo,sao-paulo
São Paulo,sao-paulo
Sport Recife,sport
Vasco,vasco
Vasco da Gama,vasco
Vitoria,vitoria
Vítoria,vitoria